,time,client_idx,neighbors,round_idx,epoch,data_size,train_loss,global_test_acc,global_test_loss
68,2024-10-25 14:44:01.588378,8,"[2, 7, 13]",2,0,2725,2.3025981055365667,0.1135,2.302151510620117
69,2024-10-25 14:44:02.912282,8,"[2, 7, 13]",2,1,2725,2.3020273551606296,0.1135,2.302048724746704
70,2024-10-25 14:44:04.278045,1,"[2, 3, 5, 6, 9, 10, 13, 14]",2,0,3068,2.30217952405413,0.101,2.3020954414367676
71,2024-10-25 14:44:05.644100,1,"[2, 3, 5, 6, 9, 10, 13, 14]",2,1,3068,2.301967895279328,0.101,2.3020531028747557
72,2024-10-25 14:44:06.971266,14,"[1, 5]",2,0,2749,2.301408673441687,0.101,2.302243909072876
73,2024-10-25 14:44:08.297190,14,"[1, 5]",2,1,2749,2.3011993904446446,0.101,2.302201393508911
74,2024-10-25 14:44:09.621986,2,"[0, 1, 3, 4, 6, 8]",2,0,2727,2.3020153784612467,0.1024,2.3021884994506836
75,2024-10-25 14:44:10.945747,2,"[0, 1, 3, 4, 6, 8]",2,1,2727,2.3017197826452422,0.1135,2.302101557159424
76,2024-10-25 14:44:12.265182,11,"[3, 7, 12]",2,0,2692,2.3021016910936707,0.101,2.3027366062164307
77,2024-10-25 14:44:13.585728,11,"[3, 7, 12]",2,1,2692,2.301923390676284,0.101,2.3026469146728514
78,2024-10-25 14:44:14.945790,9,"[1, 3]",2,0,3000,2.3022463232912918,0.101,2.3021670349121095
79,2024-10-25 14:44:16.303190,9,"[1, 3]",2,1,3000,2.30199648217952,0.101,2.3020828006744383
80,2024-10-25 14:44:17.618365,13,"[1, 8]",2,0,2670,2.301786669714008,0.101,2.302077875137329
81,2024-10-25 14:44:18.931355,13,"[1, 8]",2,1,2670,2.301573395015237,0.101,2.302041796875
82,2024-10-25 14:44:20.306531,12,"[4, 11]",2,0,3148,2.301531250706784,0.101,2.3025874206542967
83,2024-10-25 14:44:21.691925,12,"[4, 11]",2,1,3148,2.300698801950755,0.101,2.302411120605469
84,2024-10-25 14:44:23.006974,4,"[2, 3, 12]",2,0,2681,2.3014521286601113,0.101,2.302724840927124
85,2024-10-25 14:44:24.324732,4,"[2, 3, 12]",2,1,2681,2.3012473469688777,0.101,2.3027176902771
86,2024-10-25 14:44:25.668823,0,[2],2,0,2916,2.2869245615161833,0.2341,2.2836954372406004
87,2024-10-25 14:44:27.011673,0,[2],2,1,2916,2.2827037970225015,0.2622,2.2795302085876465
88,2024-10-25 14:44:28.308579,7,"[3, 5, 8, 11]",2,0,2535,2.302440253443688,0.101,2.3024352226257325
89,2024-10-25 14:44:29.604878,7,"[3, 5, 8, 11]",2,1,2535,2.3021492478232712,0.101,2.3023617321014402
90,2024-10-25 14:44:30.879487,6,"[1, 2, 10]",3,0,2259,2.3020138203258247,0.101,2.302035682296753
91,2024-10-25 14:44:32.138900,6,"[1, 2, 10]",3,1,2259,2.3018470633197836,0.101,2.301995548248291
92,2024-10-25 14:44:33.462238,14,"[1, 5]",3,0,2749,2.3015068921931956,0.101,2.302156575012207
93,2024-10-25 14:44:34.783517,14,"[1, 5]",3,1,2749,2.3012963228447494,0.101,2.3021155387878416
94,2024-10-25 14:44:36.097400,4,"[2, 3, 12]",3,0,2681,2.301507295597167,0.101,2.302407206726074
95,2024-10-25 14:44:37.411642,4,"[2, 3, 12]",3,1,2681,2.30130440280551,0.101,2.3024091053009035
96,2024-10-25 14:44:38.728507,5,"[1, 3, 7, 14]",3,0,2703,2.3018602083420614,0.101,2.302211187362671
97,2024-10-25 14:44:40.047294,5,"[1, 3, 7, 14]",3,1,2703,2.301693061399742,0.101,2.3021817092895507
98,2024-10-25 14:44:41.366955,8,"[2, 7, 13]",3,0,2725,2.3025906587901868,0.1135,2.3020854122161865
99,2024-10-25 14:44:42.685399,8,"[2, 7, 13]",3,1,2725,2.302030288685135,0.1135,2.3019908061981202
100,2024-10-25 14:44:44.072940,3,"[1, 2, 4, 5, 7, 9, 11]",3,0,3272,2.3020499938871803,0.101,2.3023118255615236
101,2024-10-25 14:44:45.462263,3,"[1, 2, 4, 5, 7, 9, 11]",3,1,3272,2.301846976396514,0.101,2.3022681468963624
102,2024-10-25 14:44:46.844415,12,"[4, 11]",3,0,3148,2.3008109337182217,0.101,2.3023967277526856
103,2024-10-25 14:44:48.218252,12,"[4, 11]",3,1,3148,2.300017043418691,0.1135,2.3022448764801027
104,2024-10-25 14:44:49.575772,9,"[1, 3]",3,0,3000,2.3021322438057434,0.101,2.302079357910156
105,2024-10-25 14:44:50.949997,9,"[1, 3]",3,1,3000,2.3018960458167057,0.101,2.3020081115722655
106,2024-10-25 14:44:52.303989,10,"[1, 6]",3,0,2842,2.301653016819043,0.101,2.3019494983673097
107,2024-10-25 14:44:53.638668,10,"[1, 6]",3,1,2842,2.3011504585823315,0.1028,2.301842499923706
108,2024-10-25 14:44:54.986071,0,[2],3,0,2916,2.303001395991591,0.101,2.302223846054077
109,2024-10-25 14:44:56.331894,0,[2],3,1,2916,2.302863402444808,0.1135,2.3021901889801026
110,2024-10-25 14:44:57.646613,11,"[3, 7, 12]",3,0,2692,2.3018326053957967,0.101,2.302324813079834
111,2024-10-25 14:44:58.962663,11,"[3, 7, 12]",3,1,2692,2.301675120754355,0.101,2.30225729637146
112,2024-10-25 14:45:00.258383,7,"[3, 5, 8, 11]",3,0,2535,2.302175968697986,0.101,2.3022109397888184
113,2024-10-25 14:45:01.555253,7,"[3, 5, 8, 11]",3,1,2535,2.301890950532829,0.1135,2.302142947769165
114,2024-10-25 14:45:02.876240,2,"[0, 1, 3, 4, 6, 8]",3,0,2727,2.3018320345739176,0.1135,2.302161766052246
115,2024-10-25 14:45:04.199570,2,"[0, 1, 3, 4, 6, 8]",3,1,2727,2.3015335345128825,0.1135,2.3020696292877196
116,2024-10-25 14:45:05.564400,1,"[2, 3, 5, 6, 9, 10, 13, 14]",3,0,3068,2.302300369987885,0.101,2.3021197509765625
117,2024-10-25 14:45:06.929921,1,"[2, 3, 5, 6, 9, 10, 13, 14]",3,1,3068,2.302099005629619,0.101,2.3020874408721923
118,2024-10-25 14:45:08.245365,13,"[1, 8]",3,0,2670,2.301988291883183,0.101,2.3021475578308106
119,2024-10-25 14:45:09.561230,13,"[1, 8]",3,1,2670,2.3017886170370137,0.101,2.302125975036621
120,2024-10-25 14:45:10.940818,1,"[2, 3, 5, 6, 9, 10, 13, 14]",4,0,3068,2.3022415501375995,0.101,2.3020792373657226
121,2024-10-25 14:45:12.306441,1,"[2, 3, 5, 6, 9, 10, 13, 14]",4,1,3068,2.302044334510962,0.101,2.302050740432739
122,2024-10-25 14:45:13.619980,13,"[1, 8]",4,0,2670,2.301956005439073,0.101,2.3021000770568847
123,2024-10-25 14:45:14.933328,13,"[1, 8]",4,1,2670,2.301757135790979,0.101,2.3020796451568604
124,2024-10-25 14:45:16.197369,6,"[1, 2, 10]",4,0,2259,2.3019299842941927,0.101,2.301975754928589
125,2024-10-25 14:45:17.457853,6,"[1, 2, 10]",4,1,2259,2.3017649952794463,0.101,2.3019373878479006
126,2024-10-25 14:45:18.794822,10,"[1, 6]",4,0,2842,2.3016752915435963,0.101,2.3019404777526855
127,2024-10-25 14:45:20.131365,10,"[1, 6]",4,1,2842,2.301178392399563,0.1518,2.3018384410858155
128,2024-10-25 14:45:21.468591,11,"[3, 7, 12]",4,0,2692,2.3016542146897176,0.12,2.3021158390045167
129,2024-10-25 14:45:22.783021,11,"[3, 7, 12]",4,1,2692,2.30149821134714,0.1147,2.3020507972717286
130,2024-10-25 14:45:24.128189,0,[2],4,0,2916,2.3029999198809348,0.1135,2.3020354377746584
131,2024-10-25 14:45:25.473730,0,[2],4,1,2916,2.302860431983823,0.1135,2.302003939437866
132,2024-10-25 14:45:26.788369,4,"[2, 3, 12]",4,0,2681,2.3013121585051217,0.1135,2.3022190368652344
133,2024-10-25 14:45:28.100543,4,"[2, 3, 12]",4,1,2681,2.3011158733140853,0.1135,2.302227170181274
134,2024-10-25 14:45:29.421815,2,"[0, 1, 3, 4, 6, 8]",4,0,2727,2.3016981451134932,0.1135,2.3020393215179444
135,2024-10-25 14:45:30.741957,2,"[0, 1, 3, 4, 6, 8]",4,1,2727,2.3014119131523265,0.1135,2.3019588554382326
136,2024-10-25 14:45:32.130671,3,"[1, 2, 4, 5, 7, 9, 11]",4,0,3272,2.301919696389175,0.1135,2.302123545455933
137,2024-10-25 14:45:33.518840,3,"[1, 2, 4, 5, 7, 9, 11]",4,1,3272,2.3017181024318787,0.1135,2.302082539367676
138,2024-10-25 14:45:34.837346,5,"[1, 3, 7, 14]",4,0,2703,2.301680470359396,0.101,2.3021248710632323
139,2024-10-25 14:45:36.154002,5,"[1, 3, 7, 14]",4,1,2703,2.301518670200596,0.101,2.3020988708496093
140,2024-10-25 14:45:37.528396,12,"[4, 11]",4,0,3148,2.3001074149523895,0.1135,2.302088395690918
141,2024-10-25 14:45:38.902882,12,"[4, 11]",4,1,3148,2.299343847381282,0.1135,2.301959232330322
142,2024-10-25 14:45:40.229889,14,"[1, 5]",4,0,2749,2.30150743833808,0.101,2.3020884349823
143,2024-10-25 14:45:41.552057,14,"[1, 5]",4,1,2749,2.3012949810471643,0.101,2.302047541809082
144,2024-10-25 14:45:42.907005,9,"[1, 3]",4,0,3000,2.3020995436830725,0.101,2.3020563930511475
145,2024-10-25 14:45:44.261575,9,"[1, 3]",4,1,3000,2.3018676169375154,0.1168,2.30198890914917
146,2024-10-25 14:45:45.582102,8,"[2, 7, 13]",4,0,2725,2.3027124279423763,0.1135,2.3020274833679197
147,2024-10-25 14:45:46.902770,8,"[2, 7, 13]",4,1,2725,2.3021452050460014,0.1135,2.3019300594329835
148,2024-10-25 14:45:48.199224,7,"[3, 5, 8, 11]",4,0,2535,2.3018396830408827,0.1135,2.302095302581787
149,2024-10-25 14:45:49.498660,7,"[3, 5, 8, 11]",4,1,2535,2.301563817749983,0.1135,2.302033162689209
